Name: Autumn Leaves, Genre: Classical, Artist: Lady Gaga
Name: Dil Dhadakne Do, Genre: Bollywood, Artist: Priyanka Chopra
Name: Tere Bina, Genre: Bollywood, Artist: A. R. Rahman
Name: Kabira, Genre: Bollywood, Artist: Arijit Singh
Name: Kabhi Jo Baadal Barse, Genre: Bollywood, Artist: Arijit Singh
Name: Pani Da Rang, Genre: Bollywood, Artist: Ayushmann Khurrana
Name: Galliyan, Genre: Bollywood, Artist: Ankit Tiwari
Name: Jeene Laga Hoon, Genre: Bollywood, Artist: Yasser Desai
Name: Tum Mile, Genre: Bollywood, Artist: Neeraj Shridhar
Name: Sun Saathiya, Genre: Bollywood, Artist: Priya Saraiya
Name: Raabta, Genre: Bollywood, Artist: Arijit Singh
Name: Dil Se Re, Genre: Bollywood, Artist: A. R. Rahman
Name: Pal, Genre: Bollywood, Artist: Arijit Singh
Name: Samjhawan, Genre: Bollywood, Artist: Arijit Singh
Name: Hasi, Genre: Bollywood, Artist: Ami Mishra
Name: Ae Mere Humsafar, Genre: Bollywood, Artist: Mansheel Gujral
Name: Zaalima, Genre: Bollywood, Artist: Arijit Singh
Name: O Sathi Re, Genre: Bollywood, Artist: A. R. Rahman
Name: Agar Tum Saath Ho, Genre: Bollywood, Artist: Alka Yagnik
Name: Tere Sang Yaara, Genre: Bollywood, Artist: Atif Aslam
Name: Tum Jo Aaye, Genre: Bollywood, Artist: Rahat Fateh Ali Khan
Name: Main Tera Boyfriend, Genre: Bollywood, Artist: Arijit Singh
Name: Koi Fariyaad, Genre: Bollywood, Artist: Jagjit Singh
Name: Tum Hi Ho Bandhu, Genre: Bollywood, Artist: Neeraj Shridhar
Name: Khuda Jaane, Genre: Bollywood, Artist: K.K.
Name: Tere Liye, Genre: Bollywood, Artist: Lata Mangeshkar
Name: Soch Na Sake, Genre: Bollywood, Artist: Arijit Singh
Name: Humma Humma, Genre: Bollywood, Artist: A. R. Rahman
Name: Koi Kahe Kehta Rahe, Genre: Bollywood, Artist: Shankar-Ehsaan-Loy
Name: Chale Aana, Genre: Bollywood, Artist: Armaan Malik
Name: Ishq Sufiyana, Genre: Bollywood, Artist: Kamran Ahmed
Name: Sanu Ek Pal Chain, Genre: Bollywood, Artist: Nusrat Fateh Ali Khan
Name: Muskurane, Genre: Bollywood, Artist: Arijit Singh
Name: Khair Mangda, Genre: Bollywood, Artist: Bilal Saeed
Name: Tere Bin, Genre: Bollywood, Artist: Rahat Fateh Ali Khan
Name: Tera Ban Jaunga, Genre: Bollywood, Artist: Akhil Sachdeva
Name: Dilliwaali Girlfriend, Genre: Bollywood, Artist: Arijit Singh
Name: Jashn-E-Bahaara, Genre: Bollywood, Artist: Javed Ali
Name: Jiya Re, Genre: Bollywood, Artist: Neeti Mohan
Name: Naina, Genre: Bollywood, Artist: Arijit Singh
Name: Hasi Ban Gaye, Genre: Bollywood, Artist: Ami Mishra
Name: Saathiya, Genre: Bollywood, Artist: Udit Narayan
Name: Lag Ja Gale, Genre: Bollywood, Artist: Lata Mangeshkar
Name: Mera Yaar, Genre: Bollywood, Artist: Darshan Raval
Name: Kya Mujhe Pyar Hai, Genre: Bollywood, Artist: Kunal Ganjawala
Name: Kya Hua Tera Wada, Genre: Bollywood, Artist: Mohammed Rafi
Name: Mere Rashke Qamar, Genre: Bollywood, Artist: Rahat Fateh Ali Khan
